antecedents,consequents,antecedent support,consequent support,support,confidence,lift,representativity,leverage,conviction,zhangs_metric,jaccard,certainty,kulczynski
frozenset({'Humidity_Category_Dry'}),frozenset({'High_Wind'}),0.22332389046270065,0.37440982058545796,0.12204910292728989,0.5465116279069767,1.4596615736531864,1.0,0.038434445166703676,1.3795065494782206,0.4054581905193042,0.25657568238213396,0.2751031154014919,0.4362444646470571
frozenset({'High_Wind'}),frozenset({'Wind_Category_Light'}),0.37440982058545796,0.1961756373937677,0.1961756373937677,0.5239596469104666,2.6708701134930646,1.0,0.12272555219392928,1.6885634954880588,1.0000000000000002,0.5239596469104666,0.4077806356278228,0.7619798234552333
frozenset({'Wind_Category_Light'}),frozenset({'High_Wind'}),0.1961756373937677,0.37440982058545796,0.1961756373937677,1.0,2.6708701134930646,1.0,0.12272555219392928,inf,0.7782672540381793,0.5239596469104666,1.0,0.7619798234552333
frozenset({'High_Wind'}),frozenset({'Wind_Category_Moderate'}),0.37440982058545796,0.14742681775259678,0.14742681775259678,0.3937578814627995,2.6708701134930646,1.0,0.09222876936836201,1.4063245627086651,1.0000000000000002,0.39375788146279955,0.2889265916866728,0.6968789407313998
frozenset({'Wind_Category_Moderate'}),frozenset({'High_Wind'}),0.14742681775259678,0.37440982058545796,0.14742681775259678,1.0,2.6708701134930646,1.0,0.09222876936836201,inf,0.733767132770317,0.39375788146279955,1.0,0.6968789407313998
frozenset({'Temp_Category_Cold'}),frozenset({'Humidity_Category_Humid'}),0.24551463644948066,0.34006137865911235,0.12618035882908404,0.5139423076923076,1.5113221904787333,1.0,0.0426903130770829,1.357737222936742,0.4484218462975821,0.2746659815005139,0.2634804562277286,0.4424970129228633
frozenset({'Humidity_Category_Humid'}),frozenset({'Temp_Category_Cold'}),0.34006137865911235,0.24551463644948066,0.12618035882908404,0.371051718153419,1.5113221904787333,1.0,0.0426903130770829,1.1995984174332486,0.5126654340071802,0.2746659815005139,0.16638769652624616,0.4424970129228633
frozenset({'Temp_Category_Cold'}),frozenset({'Wind_Category_Calm'}),0.24551463644948066,0.625590179414542,0.20136921624173748,0.8201923076923077,1.3110696661828738,1.0,0.04777767077641082,2.0822792160902477,0.31447134240191793,0.3006697215368347,0.5197570084392278,0.5710395500725689
frozenset({'Wind_Category_Calm'}),frozenset({'Temp_Category_Cold'}),0.625590179414542,0.24551463644948066,0.20136921624173748,0.3218867924528302,1.3110696661828738,1.0,0.04777767077641082,1.1126244927150117,0.6337013936422002,0.3006697215368347,0.10122417172408907,0.5710395500725689
frozenset({'Temp_Category_Cool'}),frozenset({'Humidity_Category_Moderate'}),0.1534466477809254,0.29957507082152973,0.0596081208687441,0.38846153846153847,1.2967084924531733,1.0,0.013639330492447047,1.1453489407949828,0.2702920598808348,0.15151515151515155,0.12690363226258072,0.29371855488876764
frozenset({'Humidity_Category_Moderate'}),frozenset({'Temp_Category_Cool'}),0.29957507082152973,0.1534466477809254,0.0596081208687441,0.19897557131599686,1.2967084924531733,1.0,0.013639330492447047,1.0568383708470297,0.3266826177056534,0.15151515151515155,0.05378151703696673,0.29371855488876764
